日期,TW50,TW50TR
2002-10-18,3409.79,3448.13
2002-10-21,3400.68,3438.92
2002-10-22,3323.56,3360.93
2002-10-23,3496.82,3536.14
2002-10-24,3483.31,3523.98
2002-10-25,3478.54,3519.16
2002-10-28,3491.17,3531.93
2002-10-29,3467.09,3507.58
2002-10-30,3401.27,3440.99
2002-10-31,3455.46,3495.81
2002-11-01,3383.69,3423.2
2002-11-04,3470.11,3510.63
2002-11-05,3462.45,3502.89
2002-11-06,3604.7,3646.8
2002-11-07,3641.15,3683.67
2002-11-08,3663.45,3706.23
2002-11-11,3512.75,3553.77
2002-11-12,3523.07,3564.21
2002-11-13,3513.44,3554.46
2002-11-14,3506.23,3547.18
2002-11-15,3632.11,3674.52
2002-11-18,3622.86,3665.17
2002-11-19,3571.8,3613.51
2002-11-20,3508.08,3549.04
2002-11-21,3466.72,3507.2
2002-11-22,3591.21,3633.14
2002-11-25,3611.19,3653.36
2002-11-26,3556.81,3598.34
2002-11-27,3510.15,3551.14
2002-11-28,3494.56,3535.37
2002-11-29,3525.47,3566.64
2002-12-02,3571.97,3613.68
2002-12-03,3660.46,3703.2
2002-12-04,3594.22,3636.19
2002-12-05,3610.45,3652.61
2002-12-06,3588.09,3629.99
2002-12-09,3643.42,3685.96
2002-12-10,3560.03,3601.6
2002-12-11,3523.43,3564.58
2002-12-12,3482.78,3523.45
2002-12-13,3427.15,3467.17
2002-12-16,3410.77,3450.6
2002-12-17,3387.06,3426.61
2002-12-18,3372.1,3411.48
2002-12-19,3357.12,3396.33
2002-12-20,3407.76,3447.55
2002-12-23,3367.84,3407.17
2002-12-24,3351.7,3390.84
2002-12-25,3326.13,3364.97
2002-12-26,3399.59,3439.29
2002-12-27,3372.65,3412.03
2002-12-30,3288.92,3327.33
2002-12-31,3269.84,3308.03
2003-01-02,3317.86,3356.61
2003-01-03,3409.96,3449.78
2003-01-06,3443.89,3484.11
2003-01-07,3464.36,3504.81
2003-01-08,3552.01,3593.49
2003-01-09,3532.42,3573.66
2003-01-10,3569.95,3611.64
2003-01-13,3693.42,3736.55
2003-01-14,3691.09,3734.19
2003-01-15,3682.72,3725.73
2003-01-16,3602.39,3644.45
2003-01-17,3589.17,3631.09
2003-01-20,3595.49,3637.48
2003-01-21,3592.1,3634.04
2003-01-22,3606.45,3648.56
2003-01-23,3692.26,3735.38
2003-01-24,3659.32,3702.05
2003-01-27,3603.09,3645.16
2003-01-28,3626.89,3669.24
2003-02-06,3449.87,3490.16
2003-02-07,3370.48,3409.83
2003-02-10,3311.04,3349.7
2003-02-11,3316.36,3355.09
2003-02-12,3306.38,3344.99
2003-02-13,3232.71,3270.46
2003-02-14,3228.66,3266.36
2003-02-17,3393.26,3432.89
2003-02-18,3319.76,3358.52
2003-02-19,3277.26,3315.52
2003-02-20,3297.85,3336.35
2003-02-21,3304.47,3343.06
2003-02-24,3353.38,3392.54
2003-02-25,3223.83,3261.48
2003-02-26,3221.1,3258.72
2003-02-27,3207.87,3245.33
2003-03-03,3293.85,3332.32
